Drug1,Drug1_ID,Drug2,Drug2_ID,Interaction
beta-blockers,N/A,beta-blocker,N/A,0
calcium antagonists,N/A,beta-adrenergic blocking agents,N/A,1
beta-adrenergic blocking agents,N/A,calcium antagonist,N/A,1
calcium antagonist,N/A,dihydropyridine derivative,N/A,0
calcium antagonist,N/A,nifedipine,DB01115,0
calcium antagonist,N/A,verapamil,DB00661,0
calcium antagonist,N/A,diltiazem,DB00343,0
dihydropyridine derivative,N/A,nifedipine,DB01115,0
dihydropyridine derivative,N/A,verapamil,DB00661,0
dihydropyridine derivative,N/A,diltiazem,DB00343,0
nifedipine,DB01115,verapamil,DB00661,0
verapamil,DB00661,diltiazem,DB00343,0
beta-blockers,N/A,epinephrine,DB00668,1
beta-blockers,N/A,beta-blockers,N/A,0
epinephrine,DB00668,beta-blockers,N/A,0
guanfacine,DB01018,cns-depressant drug,N/A,1
guanfacine,DB01018,phenobarbital,DB01174,1
guanfacine,DB01018,phenytoin,DB00252,1
tcas,N/A,guanfacine,DB01018,1
noncardioselective beta-blockers,N/A,nadolol,DB01203,0
noncardioselective beta-blockers,N/A,timolol,DB00373,0
noncardioselective beta-blockers,N/A,guanfacine,DB01018,1
nadolol,DB01203,timolol,DB00373,0
nadolol,DB01203,guanfacine,DB01018,1
timolol,DB00373,guanfacine,DB01018,1
guafacine,N/A,cardioselective beta-blocker,N/A,0
anticoagulants,N/A,anticoagulants,N/A,0
anticoagulants,N/A,guanfacine,DB01018,0
anticoagulants,N/A,guanfacine,DB01018,0
guanfacine,DB01018,diuretics,N/A,0
cardiac glycosides,N/A,sedatives,N/A,0
cardiac glycosides,N/A,hypnotics,N/A,0
cardiac glycosides,N/A,coronary vasodilators,N/A,0
cardiac glycosides,N/A,hypoglycemics,N/A,0
cardiac glycosides,N/A,nsaids,N/A,0
cardiac glycosides,N/A,antihyperlipidemics,N/A,0
cardiac glycosides,N/A,antigout drugs,N/A,0
cardiac glycosides,N/A,contraceptives,N/A,0
cardiac glycosides,N/A,bronchodilators,N/A,0
cardiac glycosides,N/A,insulin,N/A,0
cardiac glycosides,N/A,beta blockers,N/A,0
sedatives,N/A,coronary vasodilators,N/A,0
sedatives,N/A,hypoglycemics,N/A,0
sedatives,N/A,nsaids,N/A,0
sedatives,N/A,antihyperlipidemics,N/A,0
sedatives,N/A,antigout drugs,N/A,0
sedatives,N/A,contraceptives,N/A,0
sedatives,N/A,bronchodilators,N/A,0
sedatives,N/A,insulin,N/A,0
sedatives,N/A,beta blockers,N/A,0
hypnotics,N/A,coronary vasodilators,N/A,0
hypnotics,N/A,hypoglycemics,N/A,0
hypnotics,N/A,nsaids,N/A,0
hypnotics,N/A,antihyperlipidemics,N/A,0
hypnotics,N/A,antigout drugs,N/A,0
hypnotics,N/A,contraceptives,N/A,0
hypnotics,N/A,bronchodilators,N/A,0
hypnotics,N/A,insulin,N/A,0
hypnotics,N/A,beta blockers,N/A,0
coronary vasodilators,N/A,hypoglycemics,N/A,0
coronary vasodilators,N/A,nsaids,N/A,0
coronary vasodilators,N/A,antihyperlipidemics,N/A,0
coronary vasodilators,N/A,antigout drugs,N/A,0
coronary vasodilators,N/A,contraceptives,N/A,0
coronary vasodilators,N/A,bronchodilators,N/A,0
coronary vasodilators,N/A,insulin,N/A,0
coronary vasodilators,N/A,beta blockers,N/A,0
hypoglycemics,N/A,nsaids,N/A,0
hypoglycemics,N/A,antihyperlipidemics,N/A,0
hypoglycemics,N/A,antigout drugs,N/A,0
hypoglycemics,N/A,contraceptives,N/A,0
hypoglycemics,N/A,bronchodilators,N/A,0
hypoglycemics,N/A,insulin,N/A,0
hypoglycemics,N/A,beta blockers,N/A,0
nsaids,N/A,antihyperlipidemics,N/A,0
nsaids,N/A,antigout drugs,N/A,0
nsaids,N/A,contraceptives,N/A,0
nsaids,N/A,bronchodilators,N/A,0
nsaids,N/A,insulin,N/A,0
nsaids,N/A,beta blockers,N/A,0
antihyperlipidemics,N/A,antigout drugs,N/A,0
antihyperlipidemics,N/A,contraceptives,N/A,0
antihyperlipidemics,N/A,bronchodilators,N/A,0
antihyperlipidemics,N/A,insulin,N/A,0
antihyperlipidemics,N/A,beta blockers,N/A,0
antigout drugs,N/A,contraceptives,N/A,0
antigout drugs,N/A,bronchodilators,N/A,0
antigout drugs,N/A,insulin,N/A,0
antigout drugs,N/A,beta blockers,N/A,0
contraceptives,N/A,bronchodilators,N/A,0
contraceptives,N/A,insulin,N/A,0
contraceptives,N/A,beta blockers,N/A,0
bronchodilators,N/A,insulin,N/A,0
bronchodilators,N/A,beta blockers,N/A,0
insulin,N/A,beta blockers,N/A,0
t.a.,N/A,ssris,N/A,1
anticholinergic,N/A,sympathomimetic drugs,N/A,0
desipramine hydrochloride,N/A,psychotropic agents,N/A,1
desipramine hydrochloride,N/A,tranquilizers,N/A,1
desipramine hydrochloride,N/A,sedative,N/A,1
desipramine hydrochloride,N/A,hypnotics,N/A,1
desipramine hydrochloride,N/A,desipramine,DB01151,0
desipramine hydrochloride,N/A,benzodiazepines,N/A,0
desipramine hydrochloride,N/A,chlordiazepoxide,DB00475,0
desipramine hydrochloride,N/A,diazepam,DB00829,0
psychotropic agents,N/A,tranquilizers,N/A,0
psychotropic agents,N/A,sedative,N/A,0
psychotropic agents,N/A,hypnotics,N/A,0
psychotropic agents,N/A,desipramine,DB01151,0
psychotropic agents,N/A,benzodiazepines,N/A,0
psychotropic agents,N/A,chlordiazepoxide,DB00475,0
psychotropic agents,N/A,diazepam,DB00829,0
tranquilizers,N/A,sedative,N/A,0
tranquilizers,N/A,hypnotics,N/A,0
tranquilizers,N/A,desipramine,DB01151,0
tranquilizers,N/A,benzodiazepines,N/A,0
sedative,N/A,hypnotics,N/A,0
sedative,N/A,desipramine,DB01151,0
sedative,N/A,benzodiazepines,N/A,0
sedative,N/A,chlordiazepoxide,DB00475,0
sedative,N/A,diazepam,DB00829,0
hypnotics,N/A,desipramine,DB01151,0
hypnotics,N/A,chlordiazepoxide,DB00475,0
hypnotics,N/A,diazepam,DB00829,0
desipramine,DB01151,benzodiazepines,N/A,1
desipramine,DB01151,chlordiazepoxide,DB00475,1
benzodiazepines,N/A,chlordiazepoxide,DB00475,0
benzodiazepines,N/A,diazepam,DB00829,0
major tranquilizers,N/A,desipramine,DB01151,1
tricyclic antidepressants,N/A,tricyclic antidepressants,N/A,1
tricyclic antidepressants,N/A,fluoxetine,DB00472,1
theophylline,DB00277,ceftibuten,DB01415,0
ceftibuten,DB01415,theophylline,DB00277,0
antacids,N/A,h 2 -receptor antagonists,N/A,0
antacids,N/A,ceftibuten,DB01415,0
h 2 -receptor antagonists,N/A,ceftibuten,DB01415,0
antacid,N/A,ceftibuten,DB01415,0
ranitidine,DB00863,ceftibuten,DB01415,1
ceftibuten,DB01415,ceftibuten,DB01415,0
flexeril,N/A,mao inhibitors,N/A,1
flexeril,N/A,alcohol,N/A,1
flexeril,N/A,barbiturates,N/A,1
flexeril,N/A,cns depressants,N/A,1
barbiturates,N/A,cns depressants,N/A,0
tricyclic antidepressants,N/A,guanethidine,DB01170,1
tricyclic antidepressants,N/A,tramadol,DB00193,1
antidepressants,N/A,tricyclic antidepressants,N/A,0
tricyclic,N/A,tricyclic antidepressants,N/A,0
amphetamines,N/A,tricyclic antidepressants,N/A,1
tricyclic antidepressants,N/A,sympathomimetic agents,N/A,0
thiazides,N/A,diuretics,N/A,0
thiazides,N/A,phenothiazines,N/A,0
thiazides,N/A,estrogens,N/A,0
thiazides,N/A,contraceptives,N/A,0
thiazides,N/A,phenytoin,DB00252,0
thiazides,N/A,nicotinic acid,N/A,0
thiazides,N/A,calcium channel-blocking drugs,N/A,0
thiazides,N/A,isoniazid,DB00951,0
diuretics,N/A,corticosteroids,N/A,0
diuretics,N/A,phenothiazines,N/A,0
diuretics,N/A,thyroid products,N/A,0
diuretics,N/A,phenytoin,DB00252,0
diuretics,N/A,nicotinic acid,N/A,0
diuretics,N/A,sympathomimetics,N/A,0
diuretics,N/A,calcium channel-blocking drugs,N/A,0
corticosteroids,N/A,phenothiazines,N/A,0
corticosteroids,N/A,phenytoin,DB00252,0
corticosteroids,N/A,nicotinic acid,N/A,0
corticosteroids,N/A,calcium channel-blocking drugs,N/A,0
phenothiazines,N/A,thyroid products,N/A,0
phenothiazines,N/A,estrogens,N/A,0
phenothiazines,N/A,contraceptives,N/A,0
phenothiazines,N/A,phenytoin,DB00252,0
phenothiazines,N/A,nicotinic acid,N/A,0
phenothiazines,N/A,sympathomimetics,N/A,0
phenothiazines,N/A,calcium channel-blocking drugs,N/A,0
thyroid products,N/A,estrogens,N/A,0
thyroid products,N/A,contraceptives,N/A,0
thyroid products,N/A,phenytoin,DB00252,0
thyroid products,N/A,nicotinic acid,N/A,0
thyroid products,N/A,calcium channel-blocking drugs,N/A,0
thyroid products,N/A,isoniazid,DB00951,0
estrogens,N/A,phenytoin,DB00252,0
estrogens,N/A,nicotinic acid,N/A,0
estrogens,N/A,sympathomimetics,N/A,0
estrogens,N/A,calcium channel-blocking drugs,N/A,0
contraceptives,N/A,phenytoin,DB00252,0
contraceptives,N/A,nicotinic acid,N/A,0
contraceptives,N/A,sympathomimetics,N/A,0
contraceptives,N/A,calcium channel-blocking drugs,N/A,0
contraceptives,N/A,isoniazid,DB00951,0
phenytoin,DB00252,nicotinic acid,N/A,0
phenytoin,DB00252,sympathomimetics,N/A,0
phenytoin,DB00252,calcium channel-blocking drugs,N/A,0
nicotinic acid,N/A,sympathomimetics,N/A,0
nicotinic acid,N/A,calcium channel-blocking drugs,N/A,0
nicotinic acid,N/A,isoniazid,DB00951,0
sympathomimetics,N/A,calcium channel-blocking drugs,N/A,0
sympathomimetics,N/A,isoniazid,DB00951,0
calcium channel-blocking drugs,N/A,isoniazid,DB00951,0
acarbose,DB00284,sulfonylureas,N/A,0
acarbose,DB00284,insulin,N/A,0
sulfonylureas,N/A,insulin,N/A,0
intestinal adsorbents,N/A,charcoal,N/A,0
intestinal adsorbents,N/A,digestive enzyme preparations,N/A,0
intestinal adsorbents,N/A,amylase,N/A,0
intestinal adsorbents,N/A,pancreatin,N/A,0
intestinal adsorbents,N/A,acarbose,DB00284,1
charcoal,N/A,digestive enzyme preparations,N/A,0
charcoal,N/A,amylase,N/A,0
charcoal,N/A,pancreatin,N/A,0
charcoal,N/A,acarbose,DB00284,1
digestive enzyme preparations,N/A,amylase,N/A,0
digestive enzyme preparations,N/A,pancreatin,N/A,0
digestive enzyme preparations,N/A,acarbose,DB00284,0
amylase,N/A,pancreatin,N/A,0
amylase,N/A,acarbose,DB00284,1
pancreatin,N/A,acarbose,DB00284,1
acarbose,DB00284,digoxin,DB00390,0
acarbose,DB00284,nifedipine,DB01115,0
acarbose,DB00284,propranolol,DB00571,0
acarbose,DB00284,ranitidine,DB00863,0
digoxin,DB00390,propranolol,DB00571,0
digoxin,DB00390,ranitidine,DB00863,0
nifedipine,DB01115,propranolol,DB00571,0
nifedipine,DB01115,ranitidine,DB00863,0
propranolol,DB00571,ranitidine,DB00863,0
acarbose,DB00284,sulfonylurea,N/A,0
acarbose,DB00284,glyburide,DB01016,0
sulfonylurea,N/A,glyburide,DB01016,0
metformin,DB00331,acarbose,DB00284,1
acarbose,DB00284,metformin,DB00331,0
cyclopentolate,DB00979,carbachol,N/A,1
cyclopentolate,DB00979,pilocarpine,DB01085,1
carbachol,N/A,pilocarpine,DB01085,0
exemestane,DB00990,ketoconazole,DB01026,0
exemestane,DB00990,exemestane,DB00990,0
ketoconazole,DB01026,exemestane,DB00990,0
rifampicin,DB01045,phenytoin,DB00252,0
rifampicin,DB01045,carbamazepine,DB00564,0
rifampicin,DB01045,phenobarbital,DB01174,0
rifampicin,DB01045,exemestane,DB00990,1
phenytoin,DB00252,exemestane,DB00990,1
carbamazepine,DB00564,exemestane,DB00990,1
phenobarbital,DB01174,exemestane,DB00990,1
amiodarone,DB01118,desethylamiodarone,N/A,0
amiodarone,DB01118,amiodarone,DB01118,0
protease inhibitors,N/A,protease inhibitors,N/A,0
amiodarone,DB01118,indinavir,DB00224,1
indinavir,DB00224,amiodarone,DB01118,0
amiodarone,DB01118,protease inhibitor,N/A,1
histamine h2 antagonists,N/A,cimetidine,DB00501,1
histamine h2 antagonists,N/A,amiodarone,DB01118,0
cimetidine,DB00501,amiodarone,DB01118,0
amiodarone,DB01118,cyp1a2,N/A,0
amiodarone,DB01118,cyp2c9,N/A,0
amiodarone,DB01118,cyp2d6,N/A,0
amiodarone,DB01118,cyp3a4,N/A,0
cyp1a2,N/A,cyp2c9,N/A,0
cyp1a2,N/A,cyp2d6,N/A,0
cyp1a2,N/A,cyp3a4,N/A,0
cyp2c9,N/A,cyp2d6,N/A,0
cyp2c9,N/A,cyp3a4,N/A,0
cyp2d6,N/A,cyp3a4,N/A,0
immunosuppressive,N/A,cyclosporine,DB00091,0
immunosuppressive,N/A,cyp3a4,N/A,0
immunosuppressive,N/A,amiodarone,DB01118,0
immunosuppressive,N/A,cyclosporine,DB00091,0
cyclosporine,DB00091,cyp3a4,N/A,0
cyclosporine,DB00091,amiodarone,DB01118,0
cyp3a4,N/A,amiodarone,DB01118,0
cyp3a4,N/A,cyclosporine,DB00091,0
hmg-coa reductase inhibitors,N/A,simvastatin,DB00641,0
hmg-coa reductase inhibitors,N/A,cyp3a4,N/A,0
hmg-coa reductase inhibitors,N/A,amiodarone,DB01118,0
simvastatin,DB00641,cyp3a4,N/A,0
simvastatin,DB00641,amiodarone,DB01118,0
cardiac glycosides,N/A,digoxin,DB00390,0
cardiac glycosides,N/A,amiodarone,DB01118,0
digoxin,DB00390,amiodarone,DB01118,1
amiodarone,DB01118,digoxin,DB00390,0
amiodarone,DB01118,digoxin,DB00390,0
amiodarone,DB01118,digitalis,N/A,0
antiarrhythmics,N/A,antiarrhythmic,N/A,0
antiarrhythmics,N/A,procainamide,DB01035,0
antiarrhythmics,N/A,disopyramide,DB00280,0
antiarrhythmics,N/A,phenytoin,DB00252,0
antiarrhythmic,N/A,quinidine,DB00908,0
antiarrhythmic,N/A,procainamide,DB01035,0
antiarrhythmic,N/A,disopyramide,DB00280,0
antiarrhythmic,N/A,phenytoin,DB00252,0
antiarrhythmic,N/A,amiodarone,DB01118,0
quinidine,DB00908,phenytoin,DB00252,0
quinidine,DB00908,amiodarone,DB01118,0
procainamide,DB01035,disopyramide,DB00280,0
procainamide,DB01035,phenytoin,DB00252,0
procainamide,DB01035,amiodarone,DB01118,0
disopyramide,DB00280,phenytoin,DB00252,0
amiodarone,DB01118,procainamide,DB01035,0
procainamide,DB01035,procainamide,DB01035,0
quinidine,DB00908,amiodarone,DB01118,0
flecainide,DB01195,amiodarone,DB01118,0
flecainide,DB01195,drugs,N/A,0
amiodarone,DB01118,antiarrhythmic,N/A,0
antihypertensives,N/A,amiodarone,DB01118,0
antihypertensives,N/A,receptor,N/A,0
antihypertensives,N/A,propranolol,DB00571,0
antihypertensives,N/A,cyp3a4,N/A,0
antihypertensives,N/A,calcium channel,N/A,0
antihypertensives,N/A,verapamil,DB00661,0
antihypertensives,N/A,diltiazem,DB00343,0
amiodarone,DB01118,receptor,N/A,0
amiodarone,DB01118,propranolol,DB00571,0
amiodarone,DB01118,calcium channel,N/A,0
amiodarone,DB01118,verapamil,DB00661,0
amiodarone,DB01118,diltiazem,DB00343,0
receptor,N/A,propranolol,DB00571,0
receptor,N/A,cyp3a4,N/A,0
receptor,N/A,calcium channel,N/A,0
receptor,N/A,verapamil,DB00661,0
receptor,N/A,diltiazem,DB00343,0
propranolol,DB00571,cyp3a4,N/A,0
propranolol,DB00571,calcium channel,N/A,0
propranolol,DB00571,verapamil,DB00661,0
propranolol,DB00571,diltiazem,DB00343,1
cyp3a4,N/A,calcium channel,N/A,0
cyp3a4,N/A,verapamil,DB00661,0
cyp3a4,N/A,diltiazem,DB00343,0
calcium channel,N/A,verapamil,DB00661,0
calcium channel,N/A,cyp3a4,N/A,0
calcium channel,N/A,diltiazem,DB00343,0
verapamil,DB00661,cyp3a4,N/A,0
diltiazem,DB00343,cyp3a4,N/A,0
anticoagulants,N/A,cyp2c9,N/A,0
anticoagulants,N/A,cyp3a4,N/A,0
anticoagulants,N/A,anticoagulant,N/A,0
anticoagulants,N/A,amiodarone,DB01118,0
warfarin,DB00682,cyp2c9,N/A,0
warfarin,DB00682,cyp3a4,N/A,0
warfarin,DB00682,anticoagulant,N/A,0
warfarin,DB00682,amiodarone,DB01118,0
cyp2c9,N/A,anticoagulant,N/A,0
cyp2c9,N/A,amiodarone,DB01118,0
cyp3a4,N/A,anticoagulant,N/A,0
amiodarone,DB01118,anticoagulant,N/A,0
drugs,N/A,amiodarone,DB01118,0
drugs,N/A,cyp3a4,N/A,0
amiodarone,DB01118,cyp3a4,N/A,0
antibiotics,N/A,rifampin,N/A,0
antibiotics,N/A,cyp3a4,N/A,0
rifampin,N/A,cyp3a4,N/A,0
rifampin,N/A,amiodarone,DB01118,0
rifampin,N/A,desethylamiodarone,N/A,0
amiodarone,DB01118,desethylamiodarone,N/A,0
amiodarone,DB01118,fentanyl,DB00813,0
fentanyl,DB00813,cyp3a4,N/A,0
fentanyl,DB00813,amiodarone,DB01118,0
amiodarone,DB01118,lidocaine,DB00281,0
amiodarone,DB01118,anesthesia,N/A,0
lidocaine,DB00281,cyp3a4,N/A,0
lidocaine,DB00281,anesthesia,N/A,0
cyp3a4,N/A,anesthesia,N/A,0
lidocaine,DB00281,amiodarone,DB01118,0
dextromethorphan,DB00514,cyp2d6,N/A,0
dextromethorphan,DB00514,cyp3a4,N/A,0
cholestyramine,DB01432,amiodarone,DB01118,0
cholestyramine,DB01432,t1,N/A,0
amiodarone,DB01118,t1,N/A,0
fluoroquinolones,N/A,macrolide antibiotics,N/A,0
amiodarone,DB01118,fluoroquinolones,N/A,0
amiodarone,DB01118,macrolide antibiotics,N/A,0
fluoroquinolones,N/A,macrolide antibiotics,N/A,0
cordarone,N/A,phenytoin,DB00252,0
cordarone,N/A,dextromethorphan,DB00514,0
cordarone,N/A,methotrexate,DB00563,0
phenytoin,DB00252,dextromethorphan,DB00514,0
phenytoin,DB00252,methotrexate,DB00563,0
dextromethorphan,DB00514,methotrexate,DB00563,0
antifungal agents,N/A,ketoconazole,DB01026,0
antifungal agents,N/A,itraconazole,DB01167,0
nafazodone,N/A,fluvoxamine,DB00176,0
nafazodone,N/A,cimetidine,DB00501,0
nafazodone,N/A,xanax,N/A,1
fluvoxamine,DB00176,cimetidine,DB00501,0
fluvoxamine,DB00176,xanax,N/A,1
cimetidine,DB00501,xanax,N/A,1
fluoxetine,DB00472,ocs,N/A,0
fluoxetine,DB00472,sertraline,DB01104,0
fluoxetine,DB00472,diltiazem,DB00343,0
fluoxetine,DB00472,macrolide antibiotics,N/A,0
ocs,N/A,sertraline,DB01104,0
ocs,N/A,diltiazem,DB00343,0
ocs,N/A,macrolide antibiotics,N/A,0
sertraline,DB01104,diltiazem,DB00343,0
sertraline,DB01104,macrolide antibiotics,N/A,0
diltiazem,DB00343,macrolide antibiotics,N/A,0
calcium,DB01373,l-lysine,DB00123,1
calcium,DB01373,calcium,DB01373,0
l-lysine,DB00123,calcium,DB01373,0
sympathomimetic amines,N/A,monoamine oxidase inhibitors,N/A,1
didrex,N/A,cns stimulants,N/A,1
urinary acidifying,N/A,amphetamines,N/A,1
labetalol hcl,N/A,tricyclic antidepressants,N/A,1
labetalol hcl,N/A,labetalol hcl,N/A,0
tricyclic antidepressants,N/A,labetalol hcl,N/A,0
cimetidine,DB00501,labetalol hcl,N/A,1
halothane,DB01159,labetalol hcl,N/A,1
labetalol hcl,N/A,halothane,DB01159,0
halothane,DB01159,halothane,DB01159,0
labetalol hcl,N/A,nitroglycerin,DB00727,1
labetalol hcl,N/A,nitroglycerin,DB00727,1
labetalol,DB00598,calcium antagonist,N/A,1
labetalol,DB00598,verapamil,DB00661,0
labetalol hcl,N/A,amphetamine,DB00182,0
labetalol,DB00598,amphetamine,DB00182,0
angiomax,N/A,heparin,DB01109,1
angiomax,N/A,warfarin,DB00682,1
angiomax,N/A,thrombolytics,N/A,1
heparin,DB01109,thrombolytics,N/A,0
warfarin,DB00682,thrombolytics,N/A,0
angiomax,N/A,dextran,DB09255,0
angiomax,N/A,bivalirudin,DB00006,0
anesthetic solutions,N/A,epinephrine,DB00668,0
anesthetic solutions,N/A,norepinephrine,DB00368,0
anesthetic solutions,N/A,monoamine oxidase inhibitors,N/A,0
anesthetic solutions,N/A,tricyclic antidepressants,N/A,1
epinephrine,DB00668,norepinephrine,DB00368,0
epinephrine,DB00668,monoamine oxidase inhibitors,N/A,1
epinephrine,DB00668,tricyclic antidepressants,N/A,1
norepinephrine,DB00368,monoamine oxidase inhibitors,N/A,1
norepinephrine,DB00368,tricyclic antidepressants,N/A,1
vasopressor drugs,N/A,ergot-type oxytocic drugs,N/A,1
phenothiazines,N/A,butyrophenones,N/A,0
phenothiazines,N/A,epinephrine,DB00668,1
butyrophenones,N/A,epinephrine,DB00668,1
beta-blockers,N/A,fenoldopam,DB00800,0
beta-blockers,N/A,beta-blockers,N/A,0
fenoldopam,DB00800,beta-blockers,N/A,1
fenoldopam,DB00800,digitalis,N/A,0
fenoldopam,DB00800,nitroglycerin,DB00727,0
digitalis,N/A,nitroglycerin,DB00727,0
antihypertensive agents,N/A,alpha-blockers,N/A,0
antihypertensive agents,N/A,calcium channel-blockers,N/A,0
antihypertensive agents,N/A,ace inhibitors,N/A,0
antihypertensive agents,N/A,diuretics,N/A,0
antihypertensive agents,N/A,thiazide,N/A,0
alpha-blockers,N/A,calcium channel-blockers,N/A,0
alpha-blockers,N/A,ace inhibitors,N/A,0
alpha-blockers,N/A,diuretics,N/A,0
alpha-blockers,N/A,thiazide,N/A,0
calcium channel-blockers,N/A,ace inhibitors,N/A,0
calcium channel-blockers,N/A,diuretics,N/A,0
calcium channel-blockers,N/A,thiazide,N/A,0
ace inhibitors,N/A,thiazide,N/A,0
diuretics,N/A,thiazide,N/A,0
apraclonidine,DB00964,mao inhibitors,N/A,1
iopidine,N/A,cns depressants,N/A,1
iopidine,N/A,alcohol,N/A,1
iopidine,N/A,barbiturates,N/A,1
iopidine,N/A,opiates,N/A,1
iopidine,N/A,sedatives,N/A,1
iopidine,N/A,anesthetics,N/A,1
clonidine,DB00575,neuroleptic,N/A,1
apraclonidine,DB00964,beta-blockers,N/A,1
apraclonidine,DB00964,antihypertensives,N/A,1
apraclonidine,DB00964,cardiac glycosides,N/A,1
beta-blockers,N/A,antihypertensives,N/A,0
antihypertensives,N/A,cardiac glycosides,N/A,0
bezalip,N/A,bezalip retard,N/A,0
bezalip,N/A,bezalip,N/A,0
bezalip,N/A,anticoagulants of the coumarin type,N/A,1
bezalip retard,N/A,bezalip,N/A,0
bezalip retard,N/A,bezalip retard,N/A,0
bezalip retard,N/A,anticoagulants of the coumarin type,N/A,1
anticoagulant,N/A,bezalip,N/A,1
sulphonylureas,N/A,insulin,N/A,0
sulphonylureas,N/A,bezalip,N/A,1
sulphonylureas,N/A,bezalip retard,N/A,1
insulin,N/A,bezalip,N/A,1
insulin,N/A,bezalip retard,N/A,1
immuno-suppressant,N/A,bezafibrate,DB01393,1
bezalip,N/A,anion-exchange resins,N/A,1
bezalip,N/A,cholestryramine,N/A,1
bezalip retard,N/A,anion-exchange resins,N/A,1
bezalip retard,N/A,cholestryramine,N/A,1
anion-exchange resins,N/A,cholestryramine,N/A,0
anion-exchange resins,N/A,bezalip,N/A,0
anion-exchange resins,N/A,bezalip retard,N/A,0
cholestryramine,N/A,bezalip,N/A,0
cholestryramine,N/A,bezalip retard,N/A,0
perhexiline hydrogen maleate,N/A,mao-inhibitors,N/A,0
perhexiline hydrogen maleate,N/A,bezalip,N/A,1
perhexiline hydrogen maleate,N/A,bezalip retard,N/A,1
mao-inhibitors,N/A,bezalip,N/A,1
mao-inhibitors,N/A,bezalip retard,N/A,1
aminoglycosides,N/A,non-steroidal anti-inflammatory,N/A,0
aminoglycosides,N/A,ibuprofen,DB01050,0
aminoglycosides,N/A,tacrolimus,DB00864,0
gentamicin,DB00798,cyclosporine,DB00091,0
gentamicin,DB00798,non-steroidal anti-inflammatory,N/A,0
gentamicin,DB00798,ibuprofen,DB01050,0
gentamicin,DB00798,tacrolimus,DB00864,0
amikacin,DB00479,cyclosporine,DB00091,0
amikacin,DB00479,non-steroidal anti-inflammatory,N/A,0
amikacin,DB00479,ibuprofen,DB01050,0
amikacin,DB00479,tacrolimus,DB00864,0
amphotericin b,DB00681,cyclosporine,DB00091,0
amphotericin b,DB00681,non-steroidal anti-inflammatory,N/A,0
amphotericin b,DB00681,ibuprofen,DB01050,0
cyclosporine,DB00091,non-steroidal anti-inflammatory,N/A,0
cyclosporine,DB00091,ibuprofen,DB01050,0
cyclosporine,DB00091,vancomycin,DB00512,0
non-steroidal anti-inflammatory,N/A,ibuprofen,DB01050,0
non-steroidal anti-inflammatory,N/A,tacrolimus,DB00864,0
non-steroidal anti-inflammatory,N/A,vancomycin,DB00512,0
ibuprofen,DB01050,tacrolimus,DB00864,0
ibuprofen,DB01050,vancomycin,DB00512,0
tacrolimus,DB00864,vancomycin,DB00512,0
inomax,N/A,tolazoline,DB00797,0
inomax,N/A,dopamine,DB00988,0
inomax,N/A,dobutamine,DB00841,0
inomax,N/A,steroids,N/A,0
inomax,N/A,surfactant,N/A,0
tolazoline,DB00797,dopamine,DB00988,0
tolazoline,DB00797,dobutamine,DB00841,0
tolazoline,DB00797,steroids,N/A,0
tolazoline,DB00797,surfactant,N/A,0
dopamine,DB00988,dobutamine,DB00841,0
dopamine,DB00988,steroids,N/A,0
dopamine,DB00988,surfactant,N/A,0
dobutamine,DB00841,steroids,N/A,0
dobutamine,DB00841,surfactant,N/A,0
steroids,N/A,surfactant,N/A,0
nitric oxide donor compounds,N/A,sodium nitroprusside,N/A,0
nitric oxide donor compounds,N/A,nitroglycerin,DB00727,0
nitric oxide donor compounds,N/A,inomax,N/A,1
sodium nitroprusside,N/A,nitroglycerin,DB00727,0
sodium nitroprusside,N/A,inomax,N/A,1
nitroglycerin,DB00727,inomax,N/A,1
ketoconazole,DB01026,budesonide,DB01222,1
ketoconazole,DB01026,intraconazole,N/A,0
ketoconazole,DB01026,indinavir,DB00224,0
ketoconazole,DB01026,saquinavir,DB01232,0
intraconazole,N/A,ritonavir,DB00503,0
intraconazole,N/A,indinavir,DB00224,0
intraconazole,N/A,saquinavir,DB01232,0
intraconazole,N/A,erythromycin,DB00199,0
intraconazole,N/A,budesonide,DB01222,1
ritonavir,DB00503,indinavir,DB00224,0
ritonavir,DB00503,saquinavir,DB01232,0
ritonavir,DB00503,budesonide,DB01222,1
indinavir,DB00224,saquinavir,DB01232,0
indinavir,DB00224,budesonide,DB01222,1
saquinavir,DB01232,erythromycin,DB00199,0
saquinavir,DB01232,budesonide,DB01222,1
erythromycin,DB00199,budesonide,DB01222,1
tagamet,N/A,warfarin-type anticoagulants,N/A,1
tagamet,N/A,phenytoin,DB00252,1
tagamet,N/A,propranolol,DB00571,1
tagamet,N/A,nifedipine,DB01115,1
tagamet,N/A,chlordiazepoxide,DB00475,1
tagamet,N/A,diazepam,DB00829,1
tagamet,N/A,tricyclic antidepressants,N/A,1
tagamet,N/A,lidocaine,DB00281,1
tagamet,N/A,theophylline,DB00277,0
tagamet,N/A,metronidazole,DB00916,1
warfarin-type anticoagulants,N/A,phenytoin,DB00252,0
warfarin-type anticoagulants,N/A,propranolol,DB00571,0
warfarin-type anticoagulants,N/A,nifedipine,DB01115,0
warfarin-type anticoagulants,N/A,chlordiazepoxide,DB00475,0
warfarin-type anticoagulants,N/A,diazepam,DB00829,0
warfarin-type anticoagulants,N/A,tricyclic antidepressants,N/A,0
