Drug1,Drug2,Interaction
chlorpropamide,chymotrypsin,0
chlorpropamide,cimetidine,0
chlorpropamide,cinchophen,0
chlorpropamide,clofibrate,0
chlorpropamide,dextran,0
chlorpropamide,dextrothyroxine,0
chlorpropamide,diazoxide,0
chlorpropamide,diflunisal,0
chlorpropamide,disulfiram,0
chlorpropamide,ethacrynic acid,0
chlorpropamide,fenoprofen,0
chlorpropamide,glucagon,0
chlorpropamide,ibuprofen,0
chlorpropamide,indomethacin,0
chlorpropamide,influenza virus vaccine,0
chlorpropamide,anesthetics,0
chlorpropamide,mefenamic acid,0
chlorpropamide,methyldopa,0
chlorpropamide,methylphenidate,0
chlorpropamide,metronidazole,0
chlorpropamide,miconazole,0
chlorpropamide,monoamine oxidase inhibitors,0
chlorpropamide,nalidixic acid,0
chlorpropamide,naproxen,0
chlorpropamide,oxolinic acid,0
chlorpropamide,oxyphenbutazone,0
chlorpropamide,pentoxifylline,0
chlorpropamide,phenylbutazone,0
chlorpropamide,phenyramidol,0
chlorpropamide,phenytoin,0
chlorpropamide,prolonged narcotics,0
chlorpropamide,pyrazolones,0
chlorpropamide,quinidine,0
chlorpropamide,quinine,0
chlorpropamide,ranitidine,0
chlorpropamide,salicylates,0
chlorpropamide,sulfinpyrazone,0
chlorpropamide,sulfonamides,0
chlorpropamide,sulindac,0
chlorpropamide,thyroid drugs,0
chlorpropamide,tolbutamide,0
chlorpropamide,triclofos sodium,0
chlorpropamide,trimethoprim,0
chlorpropamide,sulfamethoxazole,0
chlorpropamide,warfarin sodium,0
chymotrypsin,cimetidine,0
chymotrypsin,cinchophen,0
chymotrypsin,clofibrate,0
chymotrypsin,dextran,0
chymotrypsin,dextrothyroxine,0
chymotrypsin,diazoxide,0
chymotrypsin,diflunisal,0
chymotrypsin,disulfiram,0
chymotrypsin,ethacrynic acid,0
chymotrypsin,fenoprofen,0
chymotrypsin,glucagon,0
chymotrypsin,ibuprofen,0
chymotrypsin,indomethacin,0
chymotrypsin,influenza virus vaccine,0
chymotrypsin,anesthetics,0
chymotrypsin,mefenamic acid,0
chymotrypsin,methyldopa,0
chymotrypsin,methylphenidate,0
chymotrypsin,metronidazole,0
chymotrypsin,miconazole,0
chymotrypsin,monoamine oxidase inhibitors,0
chymotrypsin,nalidixic acid,0
chymotrypsin,naproxen,0
chymotrypsin,oxolinic acid,0
chymotrypsin,oxyphenbutazone,0
chymotrypsin,pentoxifylline,0
chymotrypsin,phenylbutazone,0
chymotrypsin,phenyramidol,0
chymotrypsin,phenytoin,0
chymotrypsin,prolonged narcotics,0
chymotrypsin,pyrazolones,0
chymotrypsin,quinidine,0
chymotrypsin,quinine,0
chymotrypsin,ranitidine,0
chymotrypsin,salicylates,0
chymotrypsin,sulfinpyrazone,0
chymotrypsin,sulfonamides,0
chymotrypsin,sulindac,0
chymotrypsin,thyroid drugs,0
chymotrypsin,tolbutamide,0
chymotrypsin,triclofos sodium,0
chymotrypsin,trimethoprim,0
chymotrypsin,sulfamethoxazole,0
chymotrypsin,warfarin sodium,0
cimetidine,cinchophen,0
cimetidine,clofibrate,0
cimetidine,dextran,0
cimetidine,dextrothyroxine,0
cimetidine,diazoxide,0
cimetidine,diflunisal,0
cimetidine,ethacrynic acid,0
cimetidine,fenoprofen,0
cimetidine,glucagon,0
cimetidine,ibuprofen,0
cimetidine,indomethacin,0
cimetidine,influenza virus vaccine,0
cimetidine,anesthetics,0
cimetidine,mefenamic acid,0
cimetidine,methyldopa,0
cimetidine,metronidazole,0
cimetidine,miconazole,0
cimetidine,monoamine oxidase inhibitors,0
cimetidine,nalidixic acid,0
cimetidine,naproxen,0
cimetidine,oxolinic acid,0
cimetidine,oxyphenbutazone,0
cimetidine,pentoxifylline,0
cimetidine,phenyramidol,0
cimetidine,phenytoin,0
cimetidine,prolonged narcotics,0
cimetidine,pyrazolones,0
cimetidine,quinidine,0
cimetidine,ranitidine,0
cimetidine,sulfinpyrazone,0
cimetidine,sulindac,0
cimetidine,thyroid drugs,0
cimetidine,triclofos sodium,0
cimetidine,trimethoprim,0
cimetidine,sulfamethoxazole,0
cimetidine,warfarin sodium,0
cinchophen,clofibrate,0
cinchophen,dextran,0
cinchophen,dextrothyroxine,0
cinchophen,diazoxide,0
cinchophen,diflunisal,0
cinchophen,disulfiram,0
cinchophen,ethacrynic acid,0
cinchophen,fenoprofen,0
cinchophen,glucagon,0
cinchophen,ibuprofen,0
cinchophen,indomethacin,0
cinchophen,influenza virus vaccine,0
cinchophen,anesthetics,0
cinchophen,mefenamic acid,0
cinchophen,methyldopa,0
cinchophen,methylphenidate,0
cinchophen,metronidazole,0
cinchophen,miconazole,0
cinchophen,monoamine oxidase inhibitors,0
cinchophen,nalidixic acid,0
cinchophen,naproxen,0
cinchophen,oxolinic acid,0
cinchophen,oxyphenbutazone,0
cinchophen,pentoxifylline,0
cinchophen,phenylbutazone,0
cinchophen,phenyramidol,0
cinchophen,phenytoin,0
cinchophen,prolonged narcotics,0
cinchophen,pyrazolones,0
cinchophen,quinidine,0
cinchophen,quinine,0
cinchophen,ranitidine,0
cinchophen,salicylates,0
cinchophen,sulfinpyrazone,0
cinchophen,sulfonamides,0
cinchophen,sulindac,0
cinchophen,thyroid drugs,0
cinchophen,tolbutamide,0
cinchophen,triclofos sodium,0
cinchophen,trimethoprim,0
cinchophen,sulfamethoxazole,0
cinchophen,warfarin sodium,0
clofibrate,dextran,0
clofibrate,dextrothyroxine,0
clofibrate,diazoxide,0
clofibrate,diflunisal,0
clofibrate,disulfiram,0
clofibrate,ethacrynic acid,0
clofibrate,fenoprofen,0
clofibrate,glucagon,0
clofibrate,ibuprofen,0
clofibrate,indomethacin,0
clofibrate,influenza virus vaccine,0
clofibrate,anesthetics,0
clofibrate,mefenamic acid,0
clofibrate,methyldopa,0
clofibrate,methylphenidate,0
clofibrate,metronidazole,0
clofibrate,miconazole,0
clofibrate,monoamine oxidase inhibitors,0
clofibrate,nalidixic acid,0
clofibrate,naproxen,0
clofibrate,oxolinic acid,0
clofibrate,oxyphenbutazone,0
clofibrate,pentoxifylline,0
clofibrate,phenyramidol,0
clofibrate,phenytoin,0
clofibrate,prolonged narcotics,0
clofibrate,pyrazolones,0
clofibrate,quinidine,0
clofibrate,quinine,0
clofibrate,ranitidine,0
clofibrate,salicylates,0
clofibrate,sulfinpyrazone,0
clofibrate,sulfonamides,0
clofibrate,sulindac,0
clofibrate,thyroid drugs,0
clofibrate,tolbutamide,0
clofibrate,triclofos sodium,0
clofibrate,trimethoprim,0
clofibrate,sulfamethoxazole,0
clofibrate,warfarin sodium,0
dextran,dextrothyroxine,0
dextran,diazoxide,0
dextran,diflunisal,0
dextran,disulfiram,0
dextran,ethacrynic acid,0
dextran,fenoprofen,0
dextran,glucagon,0
dextran,influenza virus vaccine,0
dextran,anesthetics,0
dextran,mefenamic acid,0
dextran,methyldopa,0
dextran,methylphenidate,0
dextran,metronidazole,0
dextran,miconazole,0
dextran,monoamine oxidase inhibitors,0
dextran,nalidixic acid,0
dextran,naproxen,0
dextran,oxolinic acid,0
dextran,oxyphenbutazone,0
dextran,pentoxifylline,0
dextran,phenyramidol,0
dextran,phenytoin,0
dextran,prolonged narcotics,0
dextran,pyrazolones,0
dextran,quinidine,0
dextran,quinine,0
dextran,ranitidine,0
dextran,salicylates,0
dextran,sulfinpyrazone,0
dextran,sulfonamides,0
dextran,sulindac,0
dextran,thyroid drugs,0
dextran,tolbutamide,0
dextran,triclofos sodium,0
dextran,trimethoprim,0
dextran,sulfamethoxazole,0
dextran,warfarin sodium,0
dextrothyroxine,diazoxide,0
dextrothyroxine,diflunisal,0
dextrothyroxine,disulfiram,0
dextrothyroxine,ethacrynic acid,0
dextrothyroxine,fenoprofen,0
dextrothyroxine,glucagon,0
dextrothyroxine,ibuprofen,0
dextrothyroxine,indomethacin,0
dextrothyroxine,influenza virus vaccine,0
dextrothyroxine,anesthetics,0
dextrothyroxine,mefenamic acid,0
dextrothyroxine,methyldopa,0
dextrothyroxine,methylphenidate,0
dextrothyroxine,metronidazole,0
dextrothyroxine,miconazole,0
dextrothyroxine,monoamine oxidase inhibitors,0
dextrothyroxine,nalidixic acid,0
dextrothyroxine,naproxen,0
dextrothyroxine,oxolinic acid,0
dextrothyroxine,oxyphenbutazone,0
dextrothyroxine,pentoxifylline,0
dextrothyroxine,phenylbutazone,0
dextrothyroxine,phenyramidol,0
dextrothyroxine,phenytoin,0
dextrothyroxine,prolonged narcotics,0
dextrothyroxine,pyrazolones,0
dextrothyroxine,quinidine,0
dextrothyroxine,quinine,0
dextrothyroxine,ranitidine,0
dextrothyroxine,salicylates,0
dextrothyroxine,sulfinpyrazone,0
dextrothyroxine,sulfonamides,0
dextrothyroxine,sulindac,0
dextrothyroxine,thyroid drugs,0
dextrothyroxine,tolbutamide,0
dextrothyroxine,triclofos sodium,0
dextrothyroxine,trimethoprim,0
dextrothyroxine,sulfamethoxazole,0
dextrothyroxine,warfarin sodium,0
diazoxide,diflunisal,0
diazoxide,disulfiram,0
diazoxide,ethacrynic acid,0
diazoxide,fenoprofen,0
diazoxide,glucagon,0
diazoxide,ibuprofen,0
diazoxide,indomethacin,0
diazoxide,influenza virus vaccine,0
diazoxide,anesthetics,0
diazoxide,mefenamic acid,0
diazoxide,methyldopa,0
diazoxide,methylphenidate,0
diazoxide,metronidazole,0
diazoxide,miconazole,0
diazoxide,monoamine oxidase inhibitors,0
diazoxide,nalidixic acid,0
diazoxide,naproxen,0
diazoxide,oxolinic acid,0
diazoxide,oxyphenbutazone,0
diazoxide,pentoxifylline,0
diazoxide,phenylbutazone,0
diazoxide,phenyramidol,0
diazoxide,phenytoin,0
diazoxide,prolonged narcotics,0
diazoxide,pyrazolones,0
diazoxide,quinidine,0
diazoxide,quinine,0
diazoxide,ranitidine,0
diazoxide,salicylates,0
diazoxide,sulfinpyrazone,0
diazoxide,sulfonamides,0
diazoxide,sulindac,0
diazoxide,thyroid drugs,0
diazoxide,tolbutamide,0
diazoxide,triclofos sodium,0
diazoxide,trimethoprim,0
diazoxide,sulfamethoxazole,0
diazoxide,warfarin sodium,0
diflunisal,disulfiram,0
diflunisal,ethacrynic acid,0
diflunisal,fenoprofen,0
diflunisal,glucagon,0
diflunisal,ibuprofen,0
diflunisal,influenza virus vaccine,0
diflunisal,anesthetics,0
diflunisal,mefenamic acid,0
diflunisal,methyldopa,0
diflunisal,methylphenidate,0
diflunisal,metronidazole,0
diflunisal,miconazole,0
diflunisal,monoamine oxidase inhibitors,0
diflunisal,nalidixic acid,0
diflunisal,oxolinic acid,0
diflunisal,oxyphenbutazone,0
diflunisal,pentoxifylline,0
diflunisal,phenylbutazone,0
diflunisal,phenyramidol,0
diflunisal,phenytoin,0
diflunisal,prolonged narcotics,0
diflunisal,pyrazolones,0
diflunisal,quinidine,0
diflunisal,quinine,0
diflunisal,ranitidine,0
diflunisal,salicylates,0
diflunisal,sulfinpyrazone,0
diflunisal,sulfonamides,0
diflunisal,thyroid drugs,0
diflunisal,triclofos sodium,0
diflunisal,trimethoprim,0
diflunisal,sulfamethoxazole,0
diflunisal,warfarin sodium,0
disulfiram,ethacrynic acid,0
disulfiram,fenoprofen,0
disulfiram,glucagon,0
disulfiram,ibuprofen,0
disulfiram,indomethacin,0
disulfiram,influenza virus vaccine,0
disulfiram,anesthetics,0
disulfiram,mefenamic acid,0
disulfiram,methyldopa,0
disulfiram,miconazole,0
disulfiram,monoamine oxidase inhibitors,0
disulfiram,nalidixic acid,0
disulfiram,naproxen,0
disulfiram,oxolinic acid,0
disulfiram,oxyphenbutazone,0
disulfiram,pentoxifylline,0
disulfiram,phenyramidol,0
disulfiram,prolonged narcotics,0
disulfiram,pyrazolones,0
disulfiram,quinidine,0
disulfiram,quinine,0
disulfiram,ranitidine,0
disulfiram,sulfinpyrazone,0
disulfiram,sulindac,0
disulfiram,thyroid drugs,0
disulfiram,triclofos sodium,0
disulfiram,trimethoprim,0
disulfiram,sulfamethoxazole,0
disulfiram,warfarin sodium,0
ethacrynic acid,fenoprofen,0
ethacrynic acid,glucagon,0
ethacrynic acid,ibuprofen,0
ethacrynic acid,indomethacin,0
ethacrynic acid,influenza virus vaccine,0
ethacrynic acid,anesthetics,0
ethacrynic acid,mefenamic acid,0
ethacrynic acid,methyldopa,0
ethacrynic acid,methylphenidate,0
ethacrynic acid,metronidazole,0
ethacrynic acid,miconazole,0
ethacrynic acid,monoamine oxidase inhibitors,0
ethacrynic acid,nalidixic acid,0
ethacrynic acid,naproxen,0
ethacrynic acid,oxolinic acid,0
ethacrynic acid,oxyphenbutazone,0
ethacrynic acid,pentoxifylline,0
ethacrynic acid,phenylbutazone,0
ethacrynic acid,phenyramidol,0
ethacrynic acid,phenytoin,0
ethacrynic acid,prolonged narcotics,0
ethacrynic acid,pyrazolones,0
ethacrynic acid,quinidine,0
ethacrynic acid,quinine,0
ethacrynic acid,ranitidine,0
ethacrynic acid,salicylates,0
ethacrynic acid,sulfinpyrazone,0
ethacrynic acid,sulfonamides,0
ethacrynic acid,sulindac,0
ethacrynic acid,thyroid drugs,0
ethacrynic acid,tolbutamide,0
ethacrynic acid,triclofos sodium,0
ethacrynic acid,trimethoprim,0
ethacrynic acid,sulfamethoxazole,0
ethacrynic acid,warfarin sodium,0
fenoprofen,glucagon,0
fenoprofen,ibuprofen,0
fenoprofen,indomethacin,0
fenoprofen,influenza virus vaccine,0
fenoprofen,anesthetics,0
fenoprofen,mefenamic acid,0
fenoprofen,methyldopa,0
fenoprofen,methylphenidate,0
fenoprofen,metronidazole,0
fenoprofen,miconazole,0
fenoprofen,monoamine oxidase inhibitors,0
fenoprofen,nalidixic acid,0
fenoprofen,naproxen,0
fenoprofen,oxolinic acid,0
fenoprofen,oxyphenbutazone,0
fenoprofen,pentoxifylline,0
fenoprofen,phenylbutazone,0
fenoprofen,phenyramidol,0
fenoprofen,phenytoin,0
fenoprofen,prolonged narcotics,0
fenoprofen,pyrazolones,0
fenoprofen,quinidine,0
fenoprofen,quinine,0
fenoprofen,ranitidine,0
fenoprofen,salicylates,0
fenoprofen,sulfinpyrazone,0
fenoprofen,sulfonamides,0
fenoprofen,sulindac,0
fenoprofen,thyroid drugs,0
fenoprofen,tolbutamide,0
fenoprofen,triclofos sodium,0
fenoprofen,trimethoprim,0
fenoprofen,sulfamethoxazole,0
fenoprofen,warfarin sodium,0
glucagon,ibuprofen,0
glucagon,indomethacin,0
glucagon,influenza virus vaccine,0
glucagon,anesthetics,0
glucagon,mefenamic acid,0
glucagon,methyldopa,0
glucagon,methylphenidate,0
glucagon,metronidazole,0
glucagon,miconazole,0
glucagon,monoamine oxidase inhibitors,0
glucagon,nalidixic acid,0
glucagon,naproxen,0
glucagon,oxolinic acid,0
glucagon,oxyphenbutazone,0
glucagon,pentoxifylline,0
glucagon,phenylbutazone,0
glucagon,phenyramidol,0
glucagon,phenytoin,0
glucagon,prolonged narcotics,0
glucagon,pyrazolones,0
glucagon,quinidine,0
glucagon,quinine,0
glucagon,ranitidine,0
glucagon,salicylates,0
glucagon,sulfinpyrazone,0
glucagon,sulfonamides,0
glucagon,sulindac,0
glucagon,thyroid drugs,0
glucagon,tolbutamide,0
glucagon,triclofos sodium,0
glucagon,trimethoprim,0
glucagon,sulfamethoxazole,0
glucagon,warfarin sodium,0
ibuprofen,influenza virus vaccine,0
ibuprofen,anesthetics,0
ibuprofen,mefenamic acid,0
ibuprofen,methyldopa,0
ibuprofen,methylphenidate,0
ibuprofen,metronidazole,0
ibuprofen,miconazole,0
ibuprofen,monoamine oxidase inhibitors,0
ibuprofen,nalidixic acid,0
ibuprofen,oxolinic acid,0
ibuprofen,oxyphenbutazone,0
ibuprofen,pentoxifylline,0
ibuprofen,phenylbutazone,0
ibuprofen,phenyramidol,0
ibuprofen,prolonged narcotics,0
ibuprofen,pyrazolones,0
ibuprofen,quinidine,0
ibuprofen,quinine,0
ibuprofen,ranitidine,0
ibuprofen,salicylates,0
ibuprofen,sulfinpyrazone,0
ibuprofen,sulfonamides,0
ibuprofen,sulindac,0
ibuprofen,thyroid drugs,0
ibuprofen,tolbutamide,0
ibuprofen,triclofos sodium,0
ibuprofen,trimethoprim,0
ibuprofen,sulfamethoxazole,0
ibuprofen,warfarin sodium,0
indomethacin,influenza virus vaccine,0
indomethacin,anesthetics,0
indomethacin,mefenamic acid,0
indomethacin,methyldopa,0
indomethacin,methylphenidate,0
indomethacin,metronidazole,0
indomethacin,miconazole,0
indomethacin,monoamine oxidase inhibitors,0
indomethacin,nalidixic acid,0
indomethacin,oxolinic acid,0
indomethacin,oxyphenbutazone,0
indomethacin,pentoxifylline,0
indomethacin,phenylbutazone,0
indomethacin,phenyramidol,0
indomethacin,prolonged narcotics,0
indomethacin,pyrazolones,0
indomethacin,quinidine,0
indomethacin,quinine,0
indomethacin,ranitidine,0
indomethacin,salicylates,0
indomethacin,sulfinpyrazone,0
indomethacin,sulfonamides,0
indomethacin,sulindac,0
indomethacin,thyroid drugs,0
indomethacin,tolbutamide,0
indomethacin,triclofos sodium,0
indomethacin,trimethoprim,0
indomethacin,sulfamethoxazole,0
indomethacin,warfarin sodium,0
influenza virus vaccine,anesthetics,0
influenza virus vaccine,mefenamic acid,0
influenza virus vaccine,methyldopa,0
influenza virus vaccine,methylphenidate,0
influenza virus vaccine,metronidazole,0
influenza virus vaccine,miconazole,0
influenza virus vaccine,monoamine oxidase inhibitors,0
influenza virus vaccine,nalidixic acid,0
influenza virus vaccine,naproxen,0
influenza virus vaccine,oxolinic acid,0
influenza virus vaccine,oxyphenbutazone,0
influenza virus vaccine,pentoxifylline,0
influenza virus vaccine,phenylbutazone,0
influenza virus vaccine,phenyramidol,0
influenza virus vaccine,phenytoin,0
influenza virus vaccine,prolonged narcotics,0
influenza virus vaccine,pyrazolones,0
influenza virus vaccine,quinidine,0
influenza virus vaccine,quinine,0
influenza virus vaccine,ranitidine,0
influenza virus vaccine,salicylates,0
influenza virus vaccine,sulfinpyrazone,0
influenza virus vaccine,sulfonamides,0
influenza virus vaccine,sulindac,0
influenza virus vaccine,thyroid drugs,0
influenza virus vaccine,tolbutamide,0
influenza virus vaccine,triclofos sodium,0
influenza virus vaccine,trimethoprim,0
influenza virus vaccine,sulfamethoxazole,0
influenza virus vaccine,warfarin sodium,0
anesthetics,mefenamic acid,0
anesthetics,methyldopa,0
anesthetics,methylphenidate,0
anesthetics,metronidazole,0
anesthetics,miconazole,0
anesthetics,monoamine oxidase inhibitors,0
anesthetics,nalidixic acid,0
anesthetics,naproxen,0
anesthetics,oxolinic acid,0
anesthetics,oxyphenbutazone,0
anesthetics,pentoxifylline,0
anesthetics,phenylbutazone,0
anesthetics,phenyramidol,0
anesthetics,phenytoin,0
anesthetics,prolonged narcotics,0
anesthetics,pyrazolones,0
anesthetics,quinine,0
anesthetics,ranitidine,0
anesthetics,salicylates,0
anesthetics,sulfinpyrazone,0
anesthetics,sulfonamides,0
anesthetics,sulindac,0
anesthetics,thyroid drugs,0
anesthetics,tolbutamide,0
anesthetics,triclofos sodium,0
anesthetics,trimethoprim,0
anesthetics,sulfamethoxazole,0
anesthetics,warfarin sodium,0
mefenamic acid,methyldopa,0
mefenamic acid,methylphenidate,0
mefenamic acid,metronidazole,0
mefenamic acid,miconazole,0
mefenamic acid,monoamine oxidase inhibitors,0
mefenamic acid,nalidixic acid,0
mefenamic acid,naproxen,0
mefenamic acid,oxolinic acid,0
mefenamic acid,oxyphenbutazone,0
mefenamic acid,pentoxifylline,0
mefenamic acid,phenylbutazone,0
mefenamic acid,phenyramidol,0
mefenamic acid,phenytoin,0
mefenamic acid,prolonged narcotics,0
mefenamic acid,pyrazolones,0
mefenamic acid,quinidine,0
mefenamic acid,quinine,0
mefenamic acid,ranitidine,0
mefenamic acid,salicylates,0
mefenamic acid,sulfinpyrazone,0
mefenamic acid,sulfonamides,0
mefenamic acid,sulindac,0
mefenamic acid,thyroid drugs,0
mefenamic acid,tolbutamide,0
mefenamic acid,triclofos sodium,0
mefenamic acid,sulfamethoxazole,0
mefenamic acid,warfarin sodium,0
methyldopa,methylphenidate,0
methyldopa,metronidazole,0
methyldopa,miconazole,0
methyldopa,monoamine oxidase inhibitors,0
methyldopa,nalidixic acid,0
methyldopa,naproxen,0
methyldopa,oxolinic acid,0
methyldopa,oxyphenbutazone,0
methyldopa,pentoxifylline,0
methyldopa,phenylbutazone,0
methyldopa,phenyramidol,0
methyldopa,phenytoin,0
methyldopa,prolonged narcotics,0
methyldopa,pyrazolones,0
methyldopa,quinidine,0
methyldopa,quinine,0
methyldopa,ranitidine,0
methyldopa,salicylates,0
methyldopa,sulfinpyrazone,0
methyldopa,sulfonamides,0
methyldopa,sulindac,0
methyldopa,thyroid drugs,0
methyldopa,tolbutamide,0
methyldopa,triclofos sodium,0
methyldopa,trimethoprim,0
methyldopa,sulfamethoxazole,0
methyldopa,warfarin sodium,0
methylphenidate,metronidazole,0
methylphenidate,miconazole,0
methylphenidate,monoamine oxidase inhibitors,0
methylphenidate,nalidixic acid,0
methylphenidate,naproxen,0
methylphenidate,oxolinic acid,0
methylphenidate,oxyphenbutazone,0
methylphenidate,pentoxifylline,0
methylphenidate,phenyramidol,0
methylphenidate,phenytoin,0
methylphenidate,prolonged narcotics,0
methylphenidate,pyrazolones,0
methylphenidate,quinidine,0
methylphenidate,quinine,0
methylphenidate,ranitidine,0
methylphenidate,sulfinpyrazone,0
methylphenidate,sulindac,0
methylphenidate,thyroid drugs,0
methylphenidate,triclofos sodium,0
methylphenidate,trimethoprim,0
methylphenidate,sulfamethoxazole,0
methylphenidate,warfarin sodium,0
metronidazole,miconazole,0
metronidazole,monoamine oxidase inhibitors,0
metronidazole,nalidixic acid,0
metronidazole,naproxen,0
metronidazole,oxolinic acid,0
metronidazole,oxyphenbutazone,0
metronidazole,pentoxifylline,0
metronidazole,phenylbutazone,0
metronidazole,phenyramidol,0
metronidazole,prolonged narcotics,0
metronidazole,pyrazolones,0
metronidazole,quinidine,0
metronidazole,quinine,0
metronidazole,ranitidine,0
metronidazole,salicylates,0
metronidazole,sulfinpyrazone,0
metronidazole,sulfonamides,0
metronidazole,sulindac,0
metronidazole,thyroid drugs,0
metronidazole,tolbutamide,0
metronidazole,triclofos sodium,0
metronidazole,trimethoprim,0
metronidazole,sulfamethoxazole,0
metronidazole,warfarin sodium,0
miconazole,monoamine oxidase inhibitors,0
miconazole,nalidixic acid,0
miconazole,naproxen,0
miconazole,oxolinic acid,0
miconazole,oxyphenbutazone,0
miconazole,pentoxifylline,0
miconazole,phenylbutazone,0
miconazole,phenyramidol,0
miconazole,phenytoin,0
miconazole,prolonged narcotics,0
miconazole,pyrazolones,0
miconazole,quinidine,0
miconazole,quinine,0
miconazole,ranitidine,0
miconazole,salicylates,0
miconazole,sulfinpyrazone,0
miconazole,sulfonamides,0
miconazole,sulindac,0
miconazole,thyroid drugs,0
miconazole,tolbutamide,0
miconazole,triclofos sodium,0
miconazole,trimethoprim,0
miconazole,sulfamethoxazole,0
miconazole,warfarin sodium,0
monoamine oxidase inhibitors,nalidixic acid,0
monoamine oxidase inhibitors,naproxen,0
monoamine oxidase inhibitors,oxolinic acid,0
monoamine oxidase inhibitors,oxyphenbutazone,0
monoamine oxidase inhibitors,pentoxifylline,0
monoamine oxidase inhibitors,phenylbutazone,0
monoamine oxidase inhibitors,phenyramidol,0
monoamine oxidase inhibitors,phenytoin,0
monoamine oxidase inhibitors,prolonged narcotics,0
monoamine oxidase inhibitors,pyrazolones,0
monoamine oxidase inhibitors,quinidine,0
monoamine oxidase inhibitors,quinine,0
monoamine oxidase inhibitors,ranitidine,0
monoamine oxidase inhibitors,salicylates,0
monoamine oxidase inhibitors,sulfinpyrazone,0
monoamine oxidase inhibitors,sulfonamides,0
monoamine oxidase inhibitors,sulindac,0
monoamine oxidase inhibitors,thyroid drugs,0
monoamine oxidase inhibitors,tolbutamide,0
monoamine oxidase inhibitors,triclofos sodium,0
monoamine oxidase inhibitors,trimethoprim,0
monoamine oxidase inhibitors,sulfamethoxazole,0
monoamine oxidase inhibitors,warfarin sodium,0
nalidixic acid,naproxen,0
nalidixic acid,oxolinic acid,0
nalidixic acid,oxyphenbutazone,0
nalidixic acid,pentoxifylline,0
nalidixic acid,phenylbutazone,0
nalidixic acid,phenyramidol,0
nalidixic acid,phenytoin,0
nalidixic acid,prolonged narcotics,0
nalidixic acid,pyrazolones,0
nalidixic acid,quinidine,0
nalidixic acid,quinine,0
nalidixic acid,ranitidine,0
nalidixic acid,salicylates,0
nalidixic acid,sulfinpyrazone,0
nalidixic acid,sulfonamides,0
nalidixic acid,sulindac,0
nalidixic acid,thyroid drugs,0
nalidixic acid,tolbutamide,0
nalidixic acid,triclofos sodium,0
nalidixic acid,trimethoprim,0
nalidixic acid,sulfamethoxazole,0
nalidixic acid,warfarin sodium,0
naproxen,oxolinic acid,0
naproxen,oxyphenbutazone,0
naproxen,pentoxifylline,0
naproxen,phenylbutazone,0
naproxen,phenyramidol,0
naproxen,phenytoin,0
naproxen,prolonged narcotics,0
naproxen,pyrazolones,0
naproxen,quinidine,0
naproxen,quinine,0
naproxen,ranitidine,0
naproxen,salicylates,0
naproxen,sulfinpyrazone,0
naproxen,sulfonamides,0
naproxen,sulindac,0
naproxen,thyroid drugs,0
naproxen,tolbutamide,0
naproxen,triclofos sodium,0
naproxen,trimethoprim,0
naproxen,sulfamethoxazole,0
naproxen,warfarin sodium,0
oxolinic acid,oxyphenbutazone,0
oxolinic acid,pentoxifylline,0
oxolinic acid,phenylbutazone,0
oxolinic acid,phenyramidol,0
oxolinic acid,phenytoin,0
oxolinic acid,prolonged narcotics,0
oxolinic acid,pyrazolones,0
oxolinic acid,quinidine,0
oxolinic acid,quinine,0
oxolinic acid,ranitidine,0
oxolinic acid,salicylates,0
oxolinic acid,sulfinpyrazone,0
oxolinic acid,sulfonamides,0
oxolinic acid,sulindac,0
oxolinic acid,thyroid drugs,0
oxolinic acid,tolbutamide,0
oxolinic acid,triclofos sodium,0
oxolinic acid,trimethoprim,0
oxolinic acid,sulfamethoxazole,0
oxolinic acid,warfarin sodium,0
oxyphenbutazone,pentoxifylline,0
oxyphenbutazone,phenylbutazone,0
oxyphenbutazone,phenyramidol,0
oxyphenbutazone,phenytoin,0
oxyphenbutazone,prolonged narcotics,0
oxyphenbutazone,pyrazolones,0
oxyphenbutazone,quinidine,0
oxyphenbutazone,quinine,0
oxyphenbutazone,ranitidine,0
oxyphenbutazone,salicylates,0
oxyphenbutazone,sulfinpyrazone,0
oxyphenbutazone,sulfonamides,0
oxyphenbutazone,sulindac,0
oxyphenbutazone,thyroid drugs,0
oxyphenbutazone,tolbutamide,0
oxyphenbutazone,triclofos sodium,0
oxyphenbutazone,trimethoprim,0
oxyphenbutazone,sulfamethoxazole,0
oxyphenbutazone,warfarin sodium,0
pentoxifylline,phenylbutazone,0
pentoxifylline,phenyramidol,0
pentoxifylline,phenytoin,0
pentoxifylline,prolonged narcotics,0
pentoxifylline,pyrazolones,0
pentoxifylline,quinidine,0
pentoxifylline,quinine,0
pentoxifylline,ranitidine,0
pentoxifylline,salicylates,0
pentoxifylline,sulfinpyrazone,0
pentoxifylline,sulfonamides,0
pentoxifylline,sulindac,0
pentoxifylline,thyroid drugs,0
pentoxifylline,tolbutamide,0
pentoxifylline,triclofos sodium,0
pentoxifylline,trimethoprim,0
pentoxifylline,sulfamethoxazole,0
pentoxifylline,warfarin sodium,0
phenylbutazone,phenyramidol,0
phenylbutazone,phenytoin,0
phenylbutazone,prolonged narcotics,0
phenylbutazone,pyrazolones,0
phenylbutazone,quinidine,0
phenylbutazone,quinine,0
phenylbutazone,ranitidine,0
phenylbutazone,sulfinpyrazone,0
phenylbutazone,sulindac,0
